code_insee;latitude;longitude
1001;46.153;4.926
1002;46.009;5.428
1004;45.961;5.373
1005;45.996;4.912
1006;45.75;5.594
1007;46.006;5.358
1008;45.937;5.333
1009;45.787;5.658
1010;45.909;5.795
1011;46.206;5.658
1012;46.002;5.511
1013;45.891;5.499
1014;46.284;5.691
1015;45.724;5.653
1016;46.478;4.96
1017;45.934;5.482
1019;45.854;5.584
1021;45.994;4.822
1022;45.87;5.691
1023;46.386;4.884
1024;46.286;5.18
1025;46.323;4.953
1026;46.308;4.929
1027;45.831;5.108
1028;46.114;4.902
1029;46.429;5.26
1030;46.001;4.756
1031;46.237;5.636
1032;45.859;5.14
1033;46.107;5.832
1034;45.75;5.684
1035;46.253;5.785
1036;45.885;5.651
1037;45.838;5.483
1038;46.319;5.282
1040;46.367;5.04
1041;45.937;5.367
1042;46.219;4.846
1043;45.839;4.997
1044;46.079;5.766
1045;45.953;5.037
1046;46.227;4.941
1047;45.847;5.252
1049;45.845;5.028
1050;46.373;4.999
1051;46.196;5.471
1052;46.023;4.992
1053;46.205;5.246
1054;45.886;5.144
1056;46.036;5.463
1057;46.405;4.914
1058;45.642;5.616
1060;46.076;5.614
1061;45.714;5.69
1062;45.869;5.101
1063;46.169;5.547
1064;45.771;5.485
1065;46.21;5.145
1066;45.86;5.546
1067;46.126;5.495
1068;46.072;5.476
1069;46.134;5.262
1071;46.316;6.078
1072;46.183;5.32
1073;45.834;5.719
1074;46.008;5.169
1075;46.034;4.798
1076;45.953;5.537
1077;46.122;5.458
1078;46.177;5.971
1079;45.932;5.693
1080;46.02;5.6
1081;46.22;5.822
1082;46.006;5.769
1083;46.094;4.855
1084;46.186;5.028
1085;46.074;5.022
1087;46.186;5.681
1088;45.874;5.221
1089;45.973;5.308
1090;46.026;5.205
1092;45.975;5.242
1093;46.123;4.958
1094;46.438;5.007
1095;46.275;5.416
1096;46.199;5.056
1098;45.793;5.685
1099;45.893;5.255
1100;45.823;5.605
1101;46.11;5.581
1102;46.382;4.963
1103;46.283;6.047
1104;46.223;5.872
1105;45.922;4.886
1106;46.2;5.451
1107;45.902;5.433
1108;46.387;5.331
1109;46.142;5.9
1110;45.736;5.627
1111;45.884;5.475
1112;46.106;5.556
1113;46.154;5.084
1114;46.154;5.833
1115;46.27;5.058
1116;45.801;5.621
1117;45.725;5.604
1118;45.966;5.79
1121;46.034;5.496
1123;46.24;4.828
1124;46.434;5.222
1125;46.25;5.472
1127;46.327;5.356
1128;46.457;5.111
1129;45.966;5.195
1130;46.313;5.178
1133;45.783;5.766
1134;46.283;4.878
1135;46.292;5.995
1136;46.222;4.875
1138;45.856;5.784
1139;46.488;5.163
1140;46.273;5.102
1141;45.82;5.677
1142;45.853;5.073
1143;46.376;6.116
1145;46.067;5.217
1146;46.142;4.901
1147;46.424;5.293
1148;46.313;5.642
1149;45.984;5.371
1150;46.22;5.368
1151;46.068;5.294
1152;46.227;5.733
1153;46.316;6.019
1155;45.965;5.503
1156;45.91;5.125
1157;46.021;4.762
1158;46.166;5.9
1159;46.337;4.885
1160;46.252;6.108
1162;45.811;5.745
1163;46.378;5.185
1165;46.074;4.813
1166;45.994;4.78
1167;46.214;4.828
1169;46.12;4.793
1170;46.19;5.551
1171;46.251;5.613
1173;46.347;6.046
1174;46.223;5.78
1175;46.415;4.951
1177;46.207;5.433
1179;46.263;4.846
1180;46.332;6.114
1181;46.226;5.611
1183;46.107;4.782
1184;46.161;5.429
1185;45.97;5.576
1187;46.032;5.703
1188;46.187;4.888
1189;46.05;5.76
1190;45.792;5.574
1191;46.038;5.524
1192;46.218;5.563
1193;45.656;5.639
1194;45.978;4.76
1195;46.215;5.312
1196;46.366;5.114
1197;46.146;5.334
1198;45.95;5.103
1199;46.05;5.411
1200;46.093;5.494
1202;45.892;5.329
1203;46.247;4.899
1204;46.148;5.718
1206;46.054;5.541
1207;45.986;4.982
1208;45.811;5.773
1209;46.109;5.876
1210;46.286;5.929
1211;46.116;5.202
1212;46.412;5.151
1213;45.927;5.295
1214;46.162;5.476
1215;46.024;5.762
1216;45.744;5.536
1219;45.811;5.523
1224;45.792;5.218
1225;46.062;4.781
1227;45.775;5.715
1228;46.12;5.528
1229;46.33;5.144
1230;46.43;5.107
1231;46.364;4.902
1232;46.343;5.244
1233;45.774;5.55
1234;45.801;5.716
1235;46.055;5.074
1236;46.341;5.064
1237;46.203;5.614
1238;45.909;4.828
1239;45.757;5.762
1240;46.256;5.54
1241;46.245;5.336
1242;46.065;5.442
1243;46.047;4.759
1244;45.906;5.204
1245;46.143;5.378
1246;46.242;5.047
1247;46.362;6.009
1248;45.896;4.924
1249;45.844;4.941
1250;45.976;4.81
1252;46.145;4.82
1254;46.169;5.28
1255;45.799;5.464
1257;46.173;5.79
1258;46.096;4.804
1259;46.219;5.112
1260;45.929;5.071
1261;45.962;4.946
1262;45.891;5.02
1263;46.085;4.761
1264;46.187;5.117
1265;46.18;5.595
1266;46.325;5.113
1267;46.183;5.514
1268;45.642;5.66
1269;46.154;5.614
1272;46.157;5.009
1273;46.091;5.374
1274;46.134;5.637
1275;45.818;4.931
1276;45.822;5.06
1277;46.0;5.458
1279;45.965;5.472
1280;45.834;5.54
1281;46.278;6.094
1282;46.068;5.557
1283;46.26;5.653
1284;46.387;4.918
1285;45.918;4.828
1286;45.744;5.738
1288;46.191;5.92
1289;46.171;5.218
1290;45.88;5.18
1291;46.246;4.975
1293;46.15;5.506
1294;45.676;5.679
1295;46.123;4.822
1296;46.386;5.274
1297;45.893;5.089
1298;46.188;5.718
1299;46.023;5.089
1301;46.246;5.138
1302;45.796;5.748
1303;46.09;5.417
1304;46.054;5.347
1305;46.442;4.929
1306;46.264;4.882
1307;46.156;5.576
1308;46.145;5.951
1309;46.322;5.423
1310;45.681;5.644
1311;45.876;5.565
1313;46.258;6.072
1314;46.02;5.285
1317;46.191;5.356
1318;45.967;4.863
1319;46.084;4.942
1320;46.308;4.875
1321;46.162;5.335
1322;45.937;4.828
1323;46.429;4.913
1325;45.952;5.169
1328;46.124;5.022
1329;45.836;5.599
1330;46.004;5.653
1331;46.098;5.456
1332;46.298;4.914
1333;45.927;4.954
1334;46.214;4.913
1335;46.113;5.08
1336;46.149;5.142
1337;46.452;4.953
1338;45.689;5.584
1339;45.949;4.743
1342;45.896;5.049
1343;46.275;4.968
1344;46.211;5.185
1345;45.949;5.324
1346;46.307;5.058
1347;45.956;4.778
1348;46.184;4.816
1349;45.932;5.152
1350;46.275;5.284
1351;46.147;4.867
1352;46.403;5.006
1353;45.967;4.795
1354;46.254;6.036
1355;46.282;5.013
1356;46.104;5.03
1357;46.182;5.747
1358;45.771;5.618
1359;46.08;5.061
1360;46.218;5.942
1361;45.84;5.212
1362;45.96;4.899
1363;46.029;5.382
1364;46.397;5.063
1365;46.268;4.922
1366;45.882;5.284
1367;46.4;5.104
1368;46.202;4.959
1369;46.193;5.285
1370;46.305;4.84
1371;45.949;4.99
1372;45.848;5.679
1373;46.136;5.571
1374;46.106;5.326
1375;46.291;5.123
1376;45.834;4.977
1378;45.82;5.17
1379;45.953;5.271
1380;46.453;5.176
1381;46.053;5.142
1382;46.014;4.936
1383;46.096;5.128
1384;45.95;5.44
1385;46.185;5.168
1386;45.886;5.376
1387;46.321;5.042
1388;46.461;5.067
1389;46.062;4.902
1390;45.822;5.27
1391;46.364;5.347
1392;46.265;5.586
1393;46.066;4.983
1396;45.865;5.404
1397;46.313;6.11
1398;45.997;4.858
1399;46.294;6.073
1400;45.798;5.498
1401;46.263;5.989
1402;46.498;4.979
1403;45.813;5.441
1404;46.147;5.45
1405;46.139;5.179
1406;46.435;5.056
1407;45.948;5.826
1408;46.234;5.422
1410;46.223;5.506
