;Corps_gras_g;Lait_g;Sucre_g;Oeufs_g;Farine_g;Chocolat_g
Gâteau au chocolat;120;0;150;150;80;200
Crêpes froment;128;1000;40;200;400;0
Quiche;400;150;0;150;0;0
Soufflé;10;500;0;400;60;0
Cookies;53;0;93;50;107;53
Madeleines;320;0;400;600;480;0
Gaufres;64;640;64;150;400;0
Cheesecake;830;0;220;150;0;0
Brownies;117;0;67;100;37;67
Brioche;50;22;16;100;100;0
Scones;33;133;33;50;300;0
Tarte au citron;70;0;100;200;0;0
Mousse au chocolat;0;0;67;250;0;267
Éclair au chocolat;110;350;75;210;75;160
Petits choux;280;2200;210;300;200;400
Viennoise;133;347;7.5;0;667;0
Gâteau au fromage blanc;667;0;133;200;120;0
Canelés;40;800;400;190;200;0
Far breton;16;600;104;200;176;0
Forêt noire;300;0;240;150;50;140
Gâteau marbré;150;0;150;200;150;100
Tarte au chocolat;200;0;60;50;0;200
Moka;210;0;300;350;90;0
